Project,Self-fixed,Contributors,IF_Self-fixed,Number_of_file,Number_of_self-fixed_files,Number_of_self-fixed_issues,Commits,Z-SCORE_FILE,Z-SCORE_COMMITS
airflow,0.2702,C1,N,8,,,15,-0.026767618,-0.101417651
airflow,0.2702,C2,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C3,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C4,N,2,,,3,-0.278626569,-0.17228163
airflow,0.2702,C5,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C6,Y,31,4,8,89,0.938691694,0.335576885
airflow,0.2702,C7,N,1,,,3,-0.320603061,-0.17228163
airflow,0.2702,C8,Y,43,16,54,170,1.442409595,0.813908743
airflow,0.2702,C9,N,6,,,7,-0.110720602,-0.148660303
airflow,0.2702,C10,N,8,,,3,-0.026767618,-0.17228163
airflow,0.2702,C11,N,3,,,3,-0.236650077,-0.17228163
airflow,0.2702,C12,N,22,,,4,0.560903267,-0.166376298
airflow,0.2702,C13,N,3,,,3,-0.236650077,-0.17228163
airflow,0.2702,C14,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C15,N,6,,,5,-0.110720602,-0.160470967
airflow,0.2702,C16,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C17,Y,10,1,1,13,0.057185366,-0.113228314
airflow,0.2702,C18,Y,9,1,1,10,0.015208874,-0.130944309
airflow,0.2702,C19,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C20,N,1,,,2,-0.320603061,-0.178186961
airflow,0.2702,C21,N,1,,,2,-0.320603061,-0.178186961
airflow,0.2702,C22,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C23,Y,7,1,2,10,-0.06874411,-0.130944309
airflow,0.2702,C24,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C25,N,2,,,3,-0.278626569,-0.17228163
airflow,0.2702,C26,Y,54,50,105,163,1.904151005,0.772571422
airflow,0.2702,C27,N,2,,,4,-0.278626569,-0.166376298
airflow,0.2702,C28,N,1,,,3,-0.320603061,-0.17228163
airflow,0.2702,C29,N,10,,,21,0.057185366,-0.065985661
airflow,0.2702,C30,N,1,,,2,-0.320603061,-0.178186961
airflow,0.2702,C31,N,5,,,17,-0.152697093,-0.089606988
airflow,0.2702,C32,N,2,,,1,-0.278626569,-0.184092293
airflow,0.2702,C33,N,8,,,4,-0.026767618,-0.166376298
airflow,0.2702,C34,N,20,,,22,0.476950284,-0.06008033
airflow,0.2702,C35,Y,3,1,1,7,-0.236650077,-0.148660303
airflow,0.2702,C36,N,3,,,6,-0.236650077,-0.154565635
airflow,0.2702,C37,Y,1,1,2,3,-0.320603061,-0.17228163
airflow,0.2702,C38,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C39,N,5,,,8,-0.152697093,-0.142754972
airflow,0.2702,C40,N,2,,,5,-0.278626569,-0.160470967
airflow,0.2702,C41,N,2,,,5,-0.278626569,-0.160470967
airflow,0.2702,C42,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C43,Y,188,74,802,1397,7.529000907,8.059750582
airflow,0.2702,C44,Y,12,3,7,19,0.141138349,-0.077796325
airflow,0.2702,C45,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C46,N,4,,,8,-0.194673585,-0.142754972
airflow,0.2702,C47,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C48,N,4,,,9,-0.194673585,-0.13684964
airflow,0.2702,C49,Y,11,2,6,45,0.099161857,0.075742296
airflow,0.2702,C50,N,2,,,1,-0.278626569,-0.184092293
airflow,0.2702,C51,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C52,Y,15,2,8,25,0.267067825,-0.042364335
airflow,0.2702,C53,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C54,N,2,,,0,-0.278626569,-0.189997624
airflow,0.2702,C55,Y,2,1,2,3,-0.278626569,-0.17228163
airflow,0.2702,C56,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C57,N,2,,,1,-0.278626569,-0.184092293
airflow,0.2702,C58,N,1,,,7,-0.320603061,-0.148660303
airflow,0.2702,C59,N,11,,,8,0.099161857,-0.142754972
airflow,0.2702,C60,Y,11,1,1,18,0.099161857,-0.083701656
airflow,0.2702,C61,Y,13,5,6,18,0.183114841,-0.083701656
airflow,0.2702,C62,N,1,,,3,-0.320603061,-0.17228163
airflow,0.2702,C63,N,9,,,10,0.015208874,-0.130944309
airflow,0.2702,C64,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C65,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C66,N,1,,,1,-0.320603061,-0.184092293
airflow,0.2702,C67,N,3,,,3,-0.236650077,-0.17228163
airflow,0.2702,C68,Y,4,1,9,9,-0.194673585,-0.13684964
airflow,0.2702,C69,N,1,,,2,-0.320603061,-0.178186961
allura,0.2108,C70,Y,26,1,2,10,-0.482343365,-0.760271155
allura,0.2108,C71,Y,34,5,22,42,-0.43771012,-0.627984725
allura,0.2108,C72,Y,212,16,42,532,0.555379585,1.397651223
allura,0.2108,C73,Y,96,3,4,196,-0.09180247,0.008643716
allura,0.2108,C74,Y,42,2,4,66,-0.393076875,-0.528769904
allura,0.2108,C75,Y,15,1,1,35,-0.543714077,-0.656922382
allura,0.2108,C76,N,3,,,3,-0.610663945,-0.789208811
allura,0.2108,C77,N,92,,,143,-0.114119093,-0.210455683
allura,0.2108,C78,Y,622,58,285,711,2.842833398,2.137628437
allura,0.2108,C79,N,12,,,16,-0.560451544,-0.735467449
allura,0.2108,C80,Y,83,64,225,379,-0.164331494,0.765156733
bloodhound,0.3115,C81,Y,63,1,2,74,-0.039199784,-0.091898734
bloodhound,0.3115,C82,Y,69,10,24,65,0.021777658,-0.15158554
bloodhound,0.3115,C83,N,2,,,3,-0.659137115,-0.562761318
bloodhound,0.3115,C84,Y,4,2,37,25,-0.638811301,-0.416860235
bloodhound,0.3115,C85,Y,331,39,171,471,2.684459307,2.540952617
bloodhound,0.3115,C86,N,2,,,1,-0.659137115,-0.576025053
bloodhound,0.3115,C87,N,1,,,53,-0.669300022,-0.231167949
bloodhound,0.3115,C88,N,110,,,18,0.438456847,-0.463283307
bloodhound,0.3115,C89,N,1,,,8,-0.669300022,-0.529601981
bloodhound,0.3115,C90,N,37,,,84,-0.303435368,-0.02558006
bloodhound,0.3115,C91,Y,34,2,2,19,-0.333924089,-0.45665144
bloodhound,0.3115,C92,Y,230,17,27,401,1.658005694,2.0767219
bloodhound,0.3115,C93,Y,51,7,7,7,-0.161154669,-0.536233848
bloodhound,0.3115,C94,N,1,,,1,-0.669300022,-0.576025053
cassandra-dtest,0.2586,C95,Y,14,7,50,63,-0.18386563,-0.025188439
cassandra-dtest,0.2586,C96,Y,18,1,1,44,0.002589657,-0.192459236
cassandra-dtest,0.2586,C97,N,3,,,5,-0.696617667,-0.535804556
