Project,self-fixing_TD,effort-sharing,adjust-effort-sharing
airflow,0.2702,2.64,2.970915174
allura,0.2108,1.789473684,2.91523051
bloodhound,0.3115,1.844827586,2.276493227
cassandra-dtest,0.2586,5.258278146,2.229413932
chemistry-cmislib,0.9492,1.545454545,8.106060606
cloudstack-ec2stack,0.523,1.735294118,7.533088235
cloudstack-gcestack,0.7459,2,3.297900262
dubbo-python,0.939,1.227272727,3.977272727
fluo-muchos,0.94,3.804878049,2.30632017
kibble,1,1.022988506,3.908045977
libcloud,0.7959,2.182669789,4.107527348
openwhisk-composer-python,0.9559,1.352941176,6.794117647
openwhisk-package-kafka,0.598,3.545454545,3.536363636
predictionio-sdk-python,0.2113,2.37254902,1.690009337
qpid-dispatch,0.5697,2.355871886,3.100004237
qpid-interop-test,0.9958,1.043010753,4.908602151
qpid-python,0.5984,2.266666667,2.973414168
rocketmq-client-python,0.3485,2.894736842,4.009649123
steve,1.0000001,1.147058824,8.705882353
trafficserver-qa,0.8857,1.310344828,3.67816092
