Code,Defect,Design,Documentation,Test
1,1,0.512077295,0.671428571,0.456521739
1,1,0.487804878,0.351428571,0.325714286
1,0.998715478,0.443396226,0.323361823,0.241477273
0.731707317,0.8,0.408823529,0.280305171,0.212916246
0.708333333,0.746031746,0.400093589,0.215053763,
0.666666667,0.716981132,0.4,,
0.583333333,0.672413793,0.373015873,,
0.56,0.666666667,0.354075918,,
0.5,0.666666667,0.353310105,,
0.477911647,0.64516129,0.340740741,,
0.469586375,0.595959596,0.313315927,,
0.469387755,0.575163399,0.291605302,,
0.467391304,0.516129032,0.277456647,,
0.461538462,0.504780115,0.202247191,,
0.416666667,0.46785361,,,
0.397753456,0.461538462,,,
0.386217949,0.440517998,,,
0.376271186,0.433962264,,,
0.374193548,0.415199259,,,
0.369845361,0.407407407,,,
0.367491166,0.396500372,,,
0.363924051,0.368421053,,,
0.358070501,0.366218236,,,
0.348540146,0.352112676,,,
0.346480583,0.34939759,,,
0.327586207,0.333333333,,,
0.312202853,0.333333333,,,
0.304093567,0.317073171,,,
0.302083333,0.303235152,,,
0.293478261,0.274974253,,,
0.264026642,0.268292683,,,
0.251436782,0.230769231,,,
0.248157248,0.225806452,,,
0.230769231,0.189285714,,,
0.181818182,0.181818182,,,
0.165404776,0.18066561,,,
0.131067961,0.179487179,,,
0.098901099,0.142857143,,,
,0.134615385,,,
,0.099159664,,,
,0.05,,,
